Ano,Código_IBGE,Magreza_total_%
2008,2308302,5.84
2008,2921401,4.49
2008,2921450,11.620000000000001
2008,2921500,5.359999999999999
2008,2921609,5.2
2008,2921708,4.26
2008,2921807,4.77
2008,2921906,2.98
2008,2922003,2.32
2008,2922052,5.84
2008,2922102,8.08
2008,2922201,9.66
2008,2922250,6.7
2008,2922300,0.0
2008,2922409,5.8100000000000005
2008,1714302,6.8999999999999995
2008,2922607,1.33
2008,2922656,0.0
2008,2922706,4.3100000000000005
2008,2922730,12.5
2008,2922755,2.81
2008,2922805,20.32
2008,2922854,8.03
2008,2922904,6.199999999999999
2008,2923001,3.5
2008,2923035,5.4
2008,2923050,0.0
2008,2923100,60.0
2008,2923209,5.16
2008,2923308,4.29
2008,2923357,4.14
2008,2923407,6.09
2008,2923506,3.3800000000000003
2008,2923605,4.0
2008,2923704,3.45
2008,2923803,5.17
2008,2923902,4.41
2008,2924009,4.25
2008,2924058,0.0
2008,2924108,4.050000000000001
2008,2924207,4.09
2008,2924306,3.13
2008,2924405,9.82
2008,2924504,3.88
2008,2924603,0.0
2008,2924652,5.16
2008,2924678,0.0
2008,2924702,10.25
2008,2924801,3.35
2008,2924900,0.0
2008,2925006,0.0
2008,2925105,9.66
2008,2925204,5.45
2008,2925253,4.93
2008,2925303,4.9399999999999995
2008,2925402,0.0
2008,2925501,1.11
2008,2109106,0.0
2008,2925709,8.74
2008,2925758,0.0
2008,2512507,0.0
2008,2925907,4.32
2008,2925931,6.32
2008,2925956,5.45
2008,2926004,4.79
2008,2926103,7.7
2008,2926202,6.8500000000000005
2008,2926301,6.36
2008,2410801,5.67
2008,2926509,6.24
2008,2926608,4.81
2008,2926657,2.85
2008,2926707,3.74
2008,2926806,54.13999999999999
2008,2926905,5.51
2008,2927002,4.07
2008,2927101,5.0
2008,2411106,3.4699999999999998
2008,2927309,6.38
2008,2927408,7.7700000000000005
2008,2927507,4.68
2008,2927606,3.04
2008,2927705,4.01
2008,2927804,11.11
2008,2109908,6.01
2008,2110005,7.99
2008,2928109,7.77
2008,2928406,5.140000000000001
2008,2513802,6.03
2008,2928000,50.0
2008,1600600,0.0
2008,2928307,7.73
2008,2928604,6.17
2008,2928703,0.0
2008,2928802,5.59
2008,2928901,7.99
2008,2513968,2.9000000000000004
2008,2929107,5.43
2008,2929008,3.52
2008,2929057,6.37
2008,2929206,4.53
2008,2929255,7.75
2008,2929305,3.33
2008,2929354,3.9400000000000004
2008,2929370,6.25
2008,2929404,5.78
2008,2929503,4.37
2008,2929602,4.1899999999999995
2008,2929701,5.9399999999999995
2008,2929750,15.63
2008,2929800,4.4399999999999995
2008,2929909,5.34
2008,2930006,6.84
2008,2930105,8.7
2008,2930204,7.6
2008,2930154,6.76
2008,2930303,0.0
2008,2930402,2.54
2008,2413508,5.86
2008,2930600,2.11
2008,2930709,6.07
2008,2930758,5.33
2008,2930766,5.54
2008,2930774,0.32
2008,2930808,4.01
2008,2930907,5.6899999999999995
2008,2931004,1.28
2008,2931053,5.18
2008,2931103,5.449999999999999
2008,2516508,6.0
2008,2931301,26.5
2008,2931350,3.33
2008,2931400,10.219999999999999
2008,2931509,4.41
2008,2931608,4.41
2008,2615201,7.0600000000000005
2008,2931806,0.0
2008,2931905,5.25
2008,2932002,5.7
2008,2932101,1.51
2008,2932200,5.28
2008,2932309,28.31
2008,2932408,4.55
2008,2932457,22.4
2008,2932507,4.7700000000000005
2008,2932606,0.0
2008,2932705,3.54
2008,2932804,6.43
2008,2932903,6.21
2008,2933000,3.43
2008,2933059,6.72
2008,2933109,3.34
2008,2933158,4.779999999999999
2008,2933174,15.219999999999999
2008,2414803,7.33
2008,2933257,6.13
2008,2933307,16.67
2008,2933406,9.69
2008,2933455,7.41
2008,2933505,6.5200000000000005
2008,2933604,6.09
2008,2300101,4.9399999999999995
2008,2300150,0.0
2008,2300200,3.2
2008,2300309,6.75
2008,2300408,3.94
2008,2300507,3.91
2008,2300606,4.66
2008,2300705,6.32
2008,2300754,4.91
2008,2300804,4.82
2008,2300903,5.86
2008,2301000,5.05
2008,2301109,14.510000000000002
2008,2301208,0.0
2008,2301257,5.21
2008,2301307,5.01
2008,2301406,3.75
2008,2301505,0.0
2008,2301604,5.29
2008,2301703,5.3100000000000005
2008,2301802,9.67
2008,2301851,4.78
2008,2301901,5.48
2008,2301950,5.779999999999999
