Código_IBGE,Ano,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%
3135456,2020,7738,9.49,32066.73,17.06,12.475
3120870,2020,7799,5.88,32066.73,17.06,12.475
3105004,2020,7803,3.82,32066.73,17.06,12.475
3165305,2020,7815,2.44,32066.73,17.06,12.475
3169208,2020,7850,3.25,32066.73,17.06,12.475
3165701,2020,7858,4.14,32066.73,17.06,12.475
3123528,2020,7870,3.92,32066.73,17.06,12.475
3130309,2020,7923,3.1,32066.73,17.06,12.475
3135357,2020,7982,4.2,32066.73,17.06,12.475
3121100,2020,8016,2.48,32066.73,17.06,12.475
3124807,2020,8018,2.74,32066.73,17.06,12.475
3139706,2020,8046,1.38,32066.73,17.06,12.475
3147709,2020,8057,3.96,32066.73,17.06,12.475
3168804,2020,8072,1.69,32066.73,17.06,12.475
3145877,2020,8079,4.78,32066.73,17.06,12.475
3128907,2020,8105,4.36,32066.73,17.06,12.475
3157252,2020,8181,6.15,32066.73,17.06,12.475
3156304,2020,8224,3.64,32066.73,17.06,12.475
3111408,2020,8269,4.41,32066.73,17.06,12.475
3146503,2020,8296,0.0,32066.73,17.06,12.475
3153509,2020,8301,4.3100000000000005,32066.73,17.06,12.475
3143450,2020,8315,4.87,32066.73,17.06,12.475
3129004,2020,8343,4.63,32066.73,17.06,12.475
3151909,2020,8359,3.63,32066.73,17.06,12.475
3148509,2020,8419,2.69,32066.73,17.06,12.475
3129608,2020,8437,4.89,32066.73,17.06,12.475
3103702,2020,8453,6.17,32066.73,17.06,12.475
3161700,2020,8459,3.1100000000000003,32066.73,17.06,12.475
3140530,2020,8531,5.14,32066.73,17.06,12.475
3102852,2020,8557,4.96,32066.73,17.06,12.475
3152907,2020,8566,5.569999999999999,32066.73,17.06,12.475
3151008,2020,8640,3.0900000000000003,32066.73,17.06,12.475
3140555,2020,8644,3.85,32066.73,17.06,12.475
3144508,2020,8660,6.99,32066.73,17.06,12.475
3112802,2020,8663,3.45,32066.73,17.06,12.475
3171709,2020,8663,5.279999999999999,32066.73,17.06,12.475
3157336,2020,8664,7.27,32066.73,17.06,12.475
3158904,2020,8667,2.19,32066.73,17.06,12.475
3150505,2020,8688,2.71,32066.73,17.06,12.475
3150158,2020,8702,4.17,32066.73,17.06,12.475
3166709,2020,8713,4.3,32066.73,17.06,12.475
3142601,2020,8727,4.3,32066.73,17.06,12.475
3116803,2020,8841,4.08,32066.73,17.06,12.475
3118908,2020,8897,4.1,32066.73,17.06,12.475
3143500,2020,8910,3.62,32066.73,17.06,12.475
3128402,2020,8918,4.35,32066.73,17.06,12.475
3159209,2020,8924,4.76,32066.73,17.06,12.475
3155405,2020,8957,3.55,32066.73,17.06,12.475
3152709,2020,9080,4.6,32066.73,17.06,12.475
3118700,2020,9128,2.88,32066.73,17.06,12.475
3119500,2020,9215,1.23,32066.73,17.06,12.475
3103009,2020,9275,4.75,32066.73,17.06,12.475
3112901,2020,9308,3.79,32066.73,17.06,12.475
3100500,2020,9368,3.3800000000000003,32066.73,17.06,12.475
3103900,2020,9401,4.49,32066.73,17.06,12.475
3113503,2020,9414,4.62,32066.73,17.06,12.475
3102704,2020,9442,4.57,32066.73,17.06,12.475
3171030,2020,9443,2.76,32066.73,17.06,12.475
3154507,2020,9476,3.09,32066.73,17.06,12.475
3148301,2020,9584,4.96,32066.73,17.06,12.475
3126901,2020,9664,4.96,32066.73,17.06,12.475
3126208,2020,9688,4.0,32066.73,17.06,12.475
3126208,2020,9688,3.93,32066.73,17.06,12.475
3125903,2020,9696,5.13,32066.73,17.06,12.475
3138658,2020,9714,6.3100000000000005,32066.73,17.06,12.475
3112505,2020,9826,5.72,32066.73,17.06,12.475
3133600,2020,9881,2.67,32066.73,17.06,12.475
3133600,2020,9881,2.25,32066.73,17.06,12.475
3119203,2020,9943,3.82,32066.73,17.06,12.475
3164506,2020,9963,3.72,32066.73,17.06,12.475
3114550,2020,10066,4.76,32066.73,17.06,12.475
3131505,2020,10118,3.2,32066.73,17.06,12.475
3132909,2020,10157,2.24,32066.73,17.06,12.475
3123007,2020,10223,3.54,32066.73,17.06,12.475
3120508,2020,10226,2.48,32066.73,17.06,12.475
3156601,2020,10256,5.05,32066.73,17.06,12.475
3106002,2020,10262,3.35,32066.73,17.06,12.475
3128204,2020,10315,3.4,32066.73,17.06,12.475
3128204,2020,10315,4.62,32066.73,17.06,12.475
3126505,2020,10321,5.15,32066.73,17.06,12.475
