Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1506112,77.9,1.8,20.3,229, 12 ,1,7
2008,1506138,66.9,15.9,17.2,3607, 92 ,3,100
2008,1506161,67.1,10.9,22,684, 19 ,1,18
2008,1506187,70.7,5.8,23.5,1740, 30 ,1,42
2008,1506195,66.6,7.3,26.1,978, 28 ,1,29
2008,1506203,73.2,9.2,17.6,2266, 63 ,2,60
2008,1506302,61.6,5.5,32.9,939, 23 ,2,25
2008,1506351,62.8,17.8,19.4,618, 28 ,1,16
2008,1506401,78.8,2.5,18.7,168, 11 ,1,6
2008,1506500,60.5,10.2,29.3,2638, 68 ,3,72
2008,1506559,76.5,5.6,17.9,785, 21 ,1,20
2008,1506583,71.3,5.5,23.2,292, 31 ,1,16
2008,1506609,57.5,17.9,24.6,1044, 30 ,2,26
2008,1506708,63.2,10.6,26.2,1194, 31 ,1,35
2008,1506807,70.7,7,22.3,15957, 670 ,25,469
2008,1506906,69.9,3.7,26.4,404, 11 ,1,13
2008,1507003,72.2,5.9,21.9,1308, 49 ,2,37
2008,1507102,70.2,4.6,25.2,858, 23 ,1,22
2008,1507151,74.2,8.6,17.2,868, 32 ,1,28
2008,1507201,83.4,14.3,2.3,974, 29 ,1,29
2008,1507300,91.5,1.6,6.9,1791, 38 ,1,52
2008,1507409,74.9,3.4,21.7,748, 22 ,1,19
2008,1507458,77.3,2.5,20.2,1312, 38 ,1,39
2008,1507466,71.6,0.9,27.5,225, 9 ,1,7
2008,1507474,68.7,12.6,18.7,767, 18 ,1,20
2008,1507508,80.1,2.1,17.8,293, 10 ,1,15
2008,1507607,67.1,13.6,19.3,1952, 39 ,2,48
2008,1507706,66.6,10,23.4,761, 26 ,1,22
2008,1507755,77.3,1.2,21.5,198, 9 ,1,6
2008,1507805,74.8,2.4,22.8,487, 11 ,1,17
2008,1507904,78.7,2.9,18.4,994, 37 ,2,25
2008,1507953,69.9,7.1,23,2203, 42 ,1,52
2008,1507961,73.2,4.6,22.2,424, 21 ,1,11
2008,1507979,68.2,6,25.8,869, 13 ,1,20
2008,1508001,58.9,8.9,32.2,2082, 45 ,2,65
2008,1508035,53.3,21.1,25.6,669, 21 ,1,21
2008,1508050,69.4,8.5,22.1,494, 11 ,1,13
2008,1508084,74,8.9,17.1,1379, 39 ,1,43
2008,1508100,70.3,11.2,18.5,3294, 164 ,5,101
2008,1508126,51.2,12.4,36.4,827, 29 ,1,23
2008,1508159,74.4,4.6,21,1370, 35 ,1,40
2008,1508209,72.4,8.7,18.9,1778, 59 ,2,50
2008,1508308,69.2,5.4,25.4,2149, 38 ,1,50
2008,1508357,92.2,1.8,6,338, 17 ,1,16
2008,1508407,61.9,7.2,30.9,1920, 58 ,3,57
2008,1600055,61.3,10,28.7,87, 1 ,1,4
2008,1600105,74.9,7.4,17.7,435, 21 ,1,14
2008,1600154,64.6,2.7,32.7,388, 13 ,1,9
2008,1600212,83.5,4.2,12.3,293, 13 ,1,10
2008,1600238,68.6,6.9,24.5,318, 16 ,1,10
2008,1600253,60.8,14.2,25,213, 14 ,1,7
2008,1600279,66.4,5.4,28.2,2165, 83 ,2,61
2008,1600303,66.2,15,18.8,17794, 808 ,24,534
2008,1600402,90,3.3,6.7,627, 18 ,1,16
2008,1600501,66,12.9,21.1,1089, 35 ,1,32
2008,1600535,59.7,11.4,28.9,885, 26 ,1,21
2008,1600550,33.6,64.8,1.6,132, 4 ,1,4
2008,1600600,68.8,13.6,17.6,5572, 267 ,9,173
2008,1600709,53.9,16.6,29.5,464, 17 ,1,12
2008,1600808,96,0.4,3.6,480, 14 ,1,15
2008,1700251,86.1,10.4,3.5,123, 12 ,1,5
2008,1700301,82.7,11.2,6.1,226, 19 ,1,7
2008,1700350,78.6,10.1,11.3,243, 14 ,1,8
2008,1700400,71.7,18.3,10,330, 22 ,1,10
2008,1700707,82.6,9.2,8.2,397, 13 ,1,14
2008,1701002,82.5,5.2,12.3,575, 17 ,1,19
2008,1701051,74.5,12.4,13.1,163, 11 ,1,6
2008,1701101,92.2,3.4,4.4,216, 13 ,1,8
2008,1701309,97.6,1.8,0.6,192, 24 ,1,11
2008,1701903,80.7,4.2,15.1,374, 25 ,1,16
2008,1702000,88.9,6.6,4.5,372, 14 ,1,14
2008,1702109,74.2,13.1,12.7,7667, 329 ,18,232
2008,1702158,70,8,22,301, 22 ,2,10
2008,1702208,82.2,10.8,7,1103, 46 ,2,36
2008,1702307,77.1,8.9,14,399, 15 ,1,13
2008,1702406,63.4,15.1,21.5,434, 21 ,1,12
2008,1702554,86.6,5.5,7.9,741, 24 ,1,22
2008,1702703,88.5,0.8,10.7,127, 11 ,1,6
2008,1702901,85.3,11,3.7,821, 23 ,1,25
2008,1703008,94.6,2.3,3.1,373, 26 ,2,15
2008,1703057,81.5,5.2,13.3,182, 11 ,1,6
2008,1703073,92.9,4.4,2.7,124, 11 ,1,5
2008,1703107,83.3,6.2,10.5,205, 8 ,1,8
2008,1703206,79.7,4.1,16.2,234, 12 ,1,7
2008,1703305,94,2,4,157, 10 ,1,6
2008,1703602,88.7,7.2,4.1,109, 10 ,1,4
2008,1703701,83.3,8.9,7.8,365, 22 ,1,14
2008,1703800,86.5,9.9,3.6,449, 17 ,1,15
2008,1703826,84.2,6.8,9,141, 10 ,1,5
2008,1703842,68.5,13.6,17.9,365, 17 ,1,13
2008,1703867,79.2,8.5,12.3,134, 12 ,1,6
2008,1703883,93.5,4.3,2.2,99, 13 ,1,5
2008,1703891,91.3,3.1,5.6,166, 10 ,1,6
2008,1703909,79.4,8.3,12.3,240, 18 ,1,8
2008,1704105,90.7,2.5,6.8,124, 8 ,1,4
2008,1705102,84.3,8.4,7.3,171, 12 ,1,6
2008,1705508,79.5,10.9,9.6,1648, 73 ,4,51
2008,1705557,90.2,3.3,6.5,279, 14 ,1,9
2008,1705607,83.1,2.3,14.6,136, 10 ,1,5
2008,1706001,86.1,6.6,7.3,172, 11 ,1,6
2008,1706100,69.1,13.4,17.5,255, 17 ,1,9
2008,1706258,69.4,22.2,8.4,76, 7 ,1,3
2008,1706506,76.4,7.4,16.2,144, 13 ,1,5
2008,1707009,73.3,7.5,19.2,1013, 55 ,2,32
2008,1707108,76.4,13.7,9.9,327, 17 ,1,11
2008,1707207,86.3,5.3,8.4,196, 17 ,1,7
2008,1707306,88.4,2.2,9.4,253, 15 ,1,8
2008,1707405,94.2,4,1.8,289, 12 ,1,9
2008,1707553,79.6,5.4,15,220, 18 ,1,9
2008,1707652,86.8,11.4,1.8,244, 14 ,1,9
2008,1707702,78.3,8,13.7,370, 24 ,1,13
2008,1708205,88,4.3,7.7,760, 36 ,2,24
2008,1708254,87.3,7.3,5.4,117, 13 ,1,5
2008,1708304,87.6,6.5,5.9,190, 17 ,1,7
2008,1709005,81.3,6.4,12.3,376, 25 ,1,15
2008,1709302,75.7,9.6,14.7,1361, 53 ,3,43
2008,1709500,74.9,8.8,16.3,3376, 114 ,5,95
2008,1709807,90.3,3.9,5.8,105, 8 ,1,6
2008,1710508,95.2,2.4,2.4,371, 18 ,1,11
2008,1710706,93.6,5,1.4,235, 13 ,1,7
2008,1710904,87.2,3.8,9,145, 11 ,1,6
2008,1711100,88.3,9,2.7,112, 9 ,1,4
2008,1711506,73.5,9.9,16.6,157, 7 ,1,8
2008,1711803,80.3,8.5,11.2,75, 10 ,1,3
2008,1711902,72.2,9.2,18.6,311, 16 ,1,9
2008,1711951,96.5,0.7,2.8,152, 9 ,1,5
2008,1712009,89.6,0,10.4,116, 11 ,1,6
2008,1712157,92.7,2.4,4.9,83, 8 ,1,3
2008,1712405,86.1,2.6,11.3,121, 10 ,1,5
2008,1712454,72.5,14.4,13.1,189, 10 ,1,6
2008,1712504,74.6,4,21.4,136, 13 ,1,8
2008,1712702,86.2,7.4,6.4,93, 10 ,1,4
2008,1712801,71.5,19.2,9.3,199, 15 ,1,7
2008,1713205,68.7,11.5,19.8,962, 45 ,3,32
2008,1713304,93.4,5.6,1,565, 16 ,1,19
2008,1713601,86.7,11.4,1.9,180, 12 ,1,8
2008,1713809,82.1,8,9.9,272, 18 ,1,11
2008,1713957,83,7.1,9.9,160, 9 ,1,5
