Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana
2008,2103703,86.4,74.4,0,6.4,13.6,19.2,81,1362, 5 , 37 ,1,3,5,36
2008,2103802,91.7,84.5,0,7.8,8.3,7.7,60,952, 8 , 54 ,1,4,3,29
2008,2104008,81.1,84.5,5,7,13.9,8.5,410,732, 46 , 50 ,7,3,24,25
2008,2104057,39.8,74,4.8,8,55.4,18,84,1258, 7 , 59 ,1,3,4,34
2008,2104073,89.3,71.2,0,16.3,10.7,12.5,103,211, 5 , 9 ,1,1,3,6
2008,2104081,68.2,91.9,7.3,0,24.5,8.1,111,88, 6 , 5 ,1,1,3,3
2008,2104099,93.4,93.1,0.7,0.6,5.9,6.3,138,686, 11 , 37 ,2,1,6,22
2008,2104206,78.6,82.9,6,6,15.4,11.1,172,522, 10 , 22 ,1,1,5,15
2008,2104404,97.3,83.7,1.4,10.5,1.3,5.8,89,577, 4 , 28 ,1,2,3,19
2008,2104552,47.1,75.8,19.9,4.8,33,19.4,314,491, 14 , 18 ,1,1,8,10
2008,2104602,79.4,78,1,5.1,19.6,16.9,199,695, 8 , 30 ,2,2,6,19
2008,2104800,92,73.6,1.3,7.6,6.7,18.8,1165,2116, 69 , 102 ,13,7,42,61
2008,2104909,72.6,59.6,8,18.3,19.4,22.1,203,581, 6 , 34 ,1,1,7,18
2008,2105005,80.8,73.4,0,11.7,19.2,14.9,225,583, 10 , 22 ,1,1,6,14
2008,2105104,81.9,84.9,6.7,2.7,11.4,12.4,363,853, 12 , 38 ,1,1,7,20
2008,2105153,100,81.6,0,2.7,0,15.7,88,531, 18 , 19 ,1,1,2,12
2008,2105203,85,61,4,25.6,11,13.4,124,491, 10 , 24 ,2,2,6,16
2008,2105302,67,70.8,2.4,11.6,30.6,17.6,349,12037, 30 , 585 ,4,27,12,335
2008,2105351,87.1,82.5,10,5.2,2.9,12.3,211,217, 21 , 10 ,4,1,12,6
2008,2105401,83.4,74.2,13.2,11.6,3.4,14.2,1070,2409, 63 , 94 ,7,3,36,58
2008,2105450,78.6,81.4,7.3,1.1,14.1,17.5,243,185, 17 , 11 ,3,1,9,6
2008,2105476,65.1,74.3,8.4,8.6,26.5,17.1,521,262, 31 , 10 ,6,1,20,8
2008,2105708,78.1,78,2.5,6.7,19.4,15.3,367,1732, 17 , 88 ,2,5,9,46
2008,2105807,79,75.2,4.1,2.8,16.9,22,280,359, 21 , 17 ,2,1,9,10
2008,2105948,72.4,81.5,10.3,5.6,17.3,12.9,88,381, 5 , 15 ,1,1,3,11
2008,2106102,98.4,93.9,0,1.7,1.6,4.4,62,354, 5 , 27 ,1,2,3,12
2008,2106300,81,79.7,1.8,2.8,17.2,17.5,276,316, 24 , 20 ,4,1,12,9
2008,2106326,95.9,76.5,0,0.5,4.1,23,58,937, 8 , 37 ,1,2,3,21
2008,2106409,78.1,80.4,0.8,2.7,21.1,16.9,248,899, 24 , 63 ,2,2,12,32
2008,2106508,78.1,75.2,0.3,3.4,21.6,21.4,385,1113, 27 , 50 ,4,3,16,28
2008,2106607,76.2,81.2,5.4,4.3,18.4,14.5,336,837, 16 , 29 ,1,1,9,17
2008,2106631,93.4,94.9,3.9,4.5,2.7,0.6,76,177, 8 , 11 ,2,1,3,6
2008,2106706,87.8,76.9,6.1,11.3,6.1,11.8,187,610, 23 , 31 ,2,2,9,18
2008,2106755,79.5,77.4,0,6,20.5,16.6,169,711, 10 , 32 ,1,1,4,18
