Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,2606606,69.6,5.8,24.6,71, 7 ,1,3
2008,2606804,81.7,1.6,16.7,255, 18 ,1,8
2008,2607208,68.6,7.5,23.9,1288, 44 ,3,28
2008,2607752,58.7,19.8,21.5,124, 10 ,1,3
2008,2607901,68.7,9.8,21.5,3188, 187 ,9,91
2008,2608057,56.1,2.4,41.5,41, 7 ,1,2
2008,2608107,84.6,2.6,12.8,40, 7 ,1,1
2008,2608750,75,8.1,16.9,587, 18 ,2,16
2008,2609402,42.6,54.3,3.1,225, 22 ,1,8
2008,2609709,90.7,1.8,7.5,246, 8 ,1,7
2008,2609808,83.8,0.6,15.6,157, 7 ,1,6
2008,2610004,75,6.5,18.5,169, 9 ,1,4
2008,2610608,70.6,1.6,27.8,752, 34 ,2,20
2008,2610905,80.6,1.4,18,72, 10 ,1,5
2008,2611002,80.1,2.3,17.6,325, 30 ,2,16
2008,2611101,76.1,7.5,16.4,3002, 200 ,14,93
2008,2611533,87.8,8.4,3.8,134, 12 ,1,4
2008,2611705,72.5,19.3,8.2,176, 15 ,1,5
2008,2611804,71.1,4.1,24.8,101, 11 ,1,4
2008,2611903,85.1,4.1,10.8,408, 15 ,1,12
2008,2612208,89.7,3.3,7,182, 16 ,1,7
2008,2612604,56.4,12.3,31.3,401, 12 ,1,8
2008,2613107,69,19,12,360, 23 ,2,8
2008,2613800,84.2,3.2,12.6,96, 17 ,1,5
2008,2614204,77.4,8,14.6,222, 10 ,1,7
2008,2614808,76,0.6,23.4,551, 32 ,3,15
2008,2615904,81.5,1.2,17.3,83, 6 ,1,3
2008,2616407,83.2,13.3,3.5,623, 57 ,2,20
2008,2616506,84.7,1.5,13.8,138, 5 ,1,4
2008,2701407,59.3,17.4,23.3,438, 13 ,1,10
2008,2702306,77.2,6.4,16.4,832, 7 ,1,19
2008,2702900,73.7,6.9,19.4,507, 18 ,1,12
2008,2703106,69.4,10.9,19.7,451, 32 ,2,10
2008,2704203,69.5,12.7,17.8,199, 18 ,1,6
2008,2705002,88.2,0.8,11,128, 6 ,1,3
2008,2706307,70.5,16.4,13.1,595, 43 ,3,22
2008,2707107,68.6,14.1,17.3,340, 18 ,1,9
2008,2707206,74.3,3.1,22.6,263, 12 ,1,7
2008,2707701,77.1,5.9,17,478, 19 ,1,10
2008,2708402,76.5,1.9,21.6,215, 11 ,1,5
2008,2709004,70.8,0,29.2,25, 8 ,1,2
2008,2709202,80.8,11.5,7.7,26, 1 ,1,1
2008,2802403,51,10.5,38.5,153, 9 ,1,4
2008,2803401,70.3,5.7,24,387, 23 ,2,11
2008,2803500,63.6,14.1,22.3,1474, 94 ,3,41
2008,2804409,89.5,0,10.5,22, 7 ,1,1
2008,2804706,71.8,17.9,10.3,78, 8 ,1,3
2008,2804904,65.6,8.1,26.3,214, 33 ,4,9
2008,2805406,52,19.4,28.6,198, 16 ,1,12
2008,2805604,78.6,4.2,17.2,408, 29 ,3,19
2008,2805802,82.8,2.6,14.6,230, 12 ,1,5
2008,2806404,90.6,0,9.4,53, 8 ,1,2
2008,2806701,83.4,10.5,6.1,520, 55 ,1,14
2008,2807006,0,100,0,0, -   ,0,0
2008,2807105,90,0,10,62, 8 ,1,2
2008,2900207,78.5,3.9,17.6,332, 17 ,1,11
2008,2901007,94.3,4,1.7,175, 17 ,1,7
2008,2901403,94.7,1.3,4,80, 10 ,1,3
2008,2902104,83.9,0.3,15.8,672, 20 ,1,17
2008,2903904,82.2,0,17.8,170, 9 ,1,6
2008,2904050,89.6,1,9.4,205, 35 ,3,11
2008,2904308,77.5,5.7,16.8,371, 20 ,1,9
2008,2904902,86,4.5,9.5,202, 19 ,2,7
2008,2905008,96.4,3.6,0,142, 7 ,1,4
2008,2905404,81,9.1,9.9,275, 46 ,5,17
2008,2905503,68.5,12.3,19.2,74, 10 ,1,3
2008,2905701,66.2,10,23.8,2806, 128 ,5,73
2008,2906204,81.6,4.3,14.1,210, 19 ,2,7
2008,2906808,71,6.6,22.4,372, 29 ,4,12
2008,2907301,97.8,1.5,0.7,137, 10 ,1,5
2008,2907509,80.7,10.1,9.2,110, 23 ,2,6
2008,2907707,79.8,7.8,12.4,325, 30 ,3,14
