UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Lagoa da Canoa,2704104,4608260.84,5982317.09,6870596.069999999,7825595.74,10076769.85,9911504.02,10056982.05,11421067.58,13716532.36,13789028.2,12849343.05,15575569.33,17198035.82,17542913.650000002,25305248.34,35604135.94,35130887.35
AL,Limoeiro de Anadia,2704203,5802827.99,7622762.82,8780977.1,10141327.55,13363449.99,13834847.94,14916798.98,17254879.43,20080407.51,21930276.43,19394611.419999998,23641117.080000002,25637482.85,24851389.45,33262887.37,51942540.3,36517054.7
AL,Maceió,2704302,61113518.95,75538258.31,89929021.72,92345225.31,115002283.1,119992015.83999999,130415010.37,141763957.23,152679948.47,155214864.65,147861746.84,176367918.26000002,191514614.45,191344234.89,243080009.89999998,282477724.82,189614001.08
AL,Major Izidoro,2704401,4069468.32,5255530.99,5883608.3,6757067.49,8547932.93,9347600.55,9756013.0,11968197.620000001,13525545.99,16166455.12,15044948.17,16677011.64,18125916.04,18081874.02,24663163.35,41877243.57,25600781.01
AL,Mar Vermelho,2704906,851628.84,1118281.83,1389971.39,1503056.52,2048795.7,2125734.87,2196966.82,2510508.44,2804907.24,2748690.34,2671319.4899999998,2794149.03,2956844.14,2870810.82,3712215.83,4252059.42,2619681.71
AL,Maragogi,2704500,7175102.68,9334576.610000001,11144761.92,12954596.68,16555594.979999999,16381188.219999999,16941176.56,17657724.78,19411887.830000002,20889774.21,18587613.52,21743989.05,25319314.4,25701564.02,33106779.720000003,43863749.28,31994281.220000003
AL,Maravilha,2704609,3628516.13,4359444.51,5849571.41,6236579.73,7528162.7700000005,8149539.5200000005,7663795.01,8120419.75,10853204.309999999,11479839.83,10150427.069999998,12302406.83,11957923.83,11249500.81,13865441.120000001,22831280.49,24502869.05
AL,Marechal Deodoro,2704708,10273808.21,11970082.61,14230479.290000001,16495805.81,21863788.67,22794832.39,25153217.75,28995304.89,31486680.38,33115007.92,31093527.22,36392946.72,40151493.839999996,40131467.07,52802362.27,68370568.28999999,45348442.97
AL,Maribondo,2704807,3128800.1,4129530.27,4534802.76,4886983.06,5839498.19,5881937.92,6290458.22,6845298.65,7100878.75,7861214.12,6262841.32,7471200.800000001,8345132.09,7685542.87,9678421.98,14543590.959999999,10820281.94
AL,Mata Grande,2705002,6078504.33,7355491.290000001,8180323.489999999,11269804.629999999,16270640.020000001,19197175.7,21588793.099999998,25328820.41,25968039.53,24900339.66,19296568.46,20703759.11,22042176.9,20864855.32,22366832.22,37887537.910000004,35976913.97
