Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
26,Pernambuco,PE,2608453,Lagoa do Carro,Nordeste,-7.843834,-35.310783
26,Pernambuco,PE,2608503,Lagoa de Itaenga,Nordeste,-7.93356,-35.291979
26,Pernambuco,PE,2608602,Lagoa do Ouro,Nordeste,-9.124776,-36.459257
26,Pernambuco,PE,2608701,Lagoa dos Gatos,Nordeste,-8.653761,-35.904512
26,Pernambuco,PE,2608750,Lagoa Grande,Nordeste,-8.993065,-40.271645
26,Pernambuco,PE,2608800,Lajedo,Nordeste,-8.657914,-36.329336
26,Pernambuco,PE,2608909,Limoeiro,Nordeste,-7.872599,-35.440154
26,Pernambuco,PE,2609006,Macaparana,Nordeste,-7.555638,-35.44246
26,Pernambuco,PE,2609105,Machados,Nordeste,-7.6877,-35.512664
26,Pernambuco,PE,2609154,Manari,Nordeste,-8.961617,-37.624648
26,Pernambuco,PE,2609204,Maraial,Nordeste,-8.782379,-35.811315
26,Pernambuco,PE,2609303,Mirandiba,Nordeste,-8.12021,-38.728459
26,Pernambuco,PE,2609402,Moreno,Nordeste,-8.108706,-35.08354
26,Pernambuco,PE,2609501,Nazaré da Mata,Nordeste,-7.745269,-35.22864
26,Pernambuco,PE,2609600,Olinda,Nordeste,-7.99864,-34.845955
26,Pernambuco,PE,2609709,Orobó,Nordeste,-7.746458375,-35.60282775
26,Pernambuco,PE,2609808,Orocó,Nordeste,-8.614729,-39.603668
26,Pernambuco,PE,2609907,Ouricuri,Nordeste,-7.884432,-40.083322
26,Pernambuco,PE,2610004,Palmares,Nordeste,-8.684226,-35.589032
26,Pernambuco,PE,2610103,Palmeirina,Nordeste,-9.003097,-36.325404
26,Pernambuco,PE,2610202,Panelas,Nordeste,-8.661211,-36.012539
26,Pernambuco,PE,2610301,Paranatama,Nordeste,-8.91981,-36.657351
26,Pernambuco,PE,2610400,Parnamirim,Nordeste,-8.0339,-34.9104
26,Pernambuco,PE,2610509,Passira,Nordeste,-7.976781,-35.580252
26,Pernambuco,PE,2610608,Paudalho,Nordeste,-7.90287,-35.171639
26,Pernambuco,PE,2610707,Paulista,Nordeste,-7.934007,-34.868407
26,Pernambuco,PE,2610806,Pedra,Nordeste,-8.499559,-36.944377
26,Pernambuco,PE,2610905,Pesqueira,Nordeste,-8.357447,-36.696824
26,Pernambuco,PE,2611002,Petrolândia,Nordeste,-8.970186,-38.221366
26,Pernambuco,PE,2611101,Petrolina,Nordeste,-9.381733,-40.496888
26,Pernambuco,PE,2611200,Poção,Nordeste,-8.186709,-36.70239
26,Pernambuco,PE,2611309,Pombos,Nordeste,-8.139858,-35.396437
26,Pernambuco,PE,2611408,Primavera,Nordeste,-8.330845,-35.352303
26,Pernambuco,PE,2611507,Quipapá,Nordeste,-8.826943,-36.011622
26,Pernambuco,PE,2611533,Quixaba,Nordeste,-7.718527,-37.84844
26,Pernambuco,PE,2611606,Recife,Nordeste,-8.058493,-34.884819
26,Pernambuco,PE,2611705,Riacho das Almas,Nordeste,-8.135633,-35.856642
26,Pernambuco,PE,2611804,Ribeirão,Nordeste,-8.506676,-35.374734
26,Pernambuco,PE,2611903,Rio Formoso,Nordeste,-8.660629,-35.155074
26,Pernambuco,PE,2612000,Sairé,Nordeste,-8.327781,-35.709461
26,Pernambuco,PE,2612109,Salgadinho,Nordeste,-8.03,-34.87
26,Pernambuco,PE,2612208,Salgueiro,Nordeste,-8.073734,-39.12469
26,Pernambuco,PE,2612307,Saloá,Nordeste,-8.974964,-36.68923
26,Pernambuco,PE,2612406,Sanharó,Nordeste,-8.362878,-36.557319
26,Pernambuco,PE,2612455,Santa Cruz,Nordeste,-8.239255,-40.331661
26,Pernambuco,PE,2612471,Santa Cruz da Baixa Verde,Nordeste,-7.818545,-38.152351
26,Pernambuco,PE,2612505,Santa Cruz do Capibaribe,Nordeste,-7.948019,-36.206092
26,Pernambuco,PE,2612554,Santa Filomena,Nordeste,-8.1615595,-40.61425
26,Pernambuco,PE,2612604,Santa Maria da Boa Vista,Nordeste,-8.800161,-39.82711
26,Pernambuco,PE,2612703,Santa Maria do Cambucá,Nordeste,-7.832815,-35.882795
26,Pernambuco,PE,2612802,Santa Terezinha,Nordeste,-8.022446,-35.008397
26,Pernambuco,PE,2612901,São Benedito do Sul,Nordeste,-8.810729,-35.933404
26,Pernambuco,PE,2613008,São Bento do Una,Nordeste,-8.520709,-36.444555
26,Pernambuco,PE,2613107,São Caitano,Nordeste,-8.330449,-36.135359
26,Pernambuco,PE,2613206,São João,Nordeste,-8.875762,-36.36532
26,Pernambuco,PE,2613305,São Joaquim do Monte,Nordeste,-8.432365,-35.807618
26,Pernambuco,PE,2613404,São José da Coroa Grande,Nordeste,-8.889375,-35.151461
26,Pernambuco,PE,2613503,São José do Belmonte,Nordeste,-7.864126,-38.759955
26,Pernambuco,PE,2613602,São José do Egito,Nordeste,-7.469447,-37.273974
26,Pernambuco,PE,2613701,São Lourenço da Mata,Nordeste,-7.995961,-35.039335
26,Pernambuco,PE,2613800,São Vicente Férrer,Nordeste,-7.589691,-35.480844
26,Pernambuco,PE,2613909,Serra Talhada,Nordeste,-7.98678,-38.292029
26,Pernambuco,PE,2614006,Serrita,Nordeste,-7.947695,-39.295738
26,Pernambuco,PE,2614105,Sertânia,Nordeste,-8.068467,-37.268393
26,Pernambuco,PE,2614204,Sirinhaém,Nordeste,-8.591935,-35.115516
26,Pernambuco,PE,2614303,Moreilândia,Nordeste,-7.629863,-39.553552
26,Pernambuco,PE,2614402,Solidão,Nordeste,-7.60087,-37.65144
26,Pernambuco,PE,2614501,Surubim,Nordeste,-7.842435,-35.753972
26,Pernambuco,PE,2614600,Tabira,Nordeste,-7.583661,-37.537735
26,Pernambuco,PE,2614709,Tacaimbó,Nordeste,-8.3176565,-36.2920895
26,Pernambuco,PE,2614808,Tacaratu,Nordeste,-9.105176,-38.149913
26,Pernambuco,PE,2614857,Tamandaré,Nordeste,-8.750001,-35.104579
26,Pernambuco,PE,2615003,Taquaritinga do Norte,Nordeste,-7.902777,-36.044223
26,Pernambuco,PE,2615102,Terezinha,Nordeste,-9.056037,-36.623375
26,Pernambuco,PE,2615201,Terra Nova,Nordeste,-8.224952,-39.384464
26,Pernambuco,PE,2615300,Timbaúba,Nordeste,-7.511882,-35.316076
26,Pernambuco,PE,2615409,Toritama,Nordeste,-8.008374,-36.058776
26,Pernambuco,PE,2615508,Tracunhaém,Nordeste,-7.802725,-35.238498
26,Pernambuco,PE,2615607,Trindade,Nordeste,-7.759,-40.26472
26,Pernambuco,PE,2615706,Triunfo,Nordeste,-7.836296,-38.104262
26,Pernambuco,PE,2615805,Tupanatinga,Nordeste,-8.754238,-37.339873
26,Pernambuco,PE,2615904,Tuparetama,Nordeste,-7.601012,-37.311442
26,Pernambuco,PE,2616001,Venturosa,Nordeste,-8.576261,-36.878899
26,Pernambuco,PE,2616100,Verdejante,Nordeste,-7.928567,-38.968547
26,Pernambuco,PE,2616183,Vertente do Lério,Nordeste,-7.773336,-35.849848
26,Pernambuco,PE,2616209,Vertentes,Nordeste,-7.906103,-35.989498
26,Pernambuco,PE,2616308,Vicência,Nordeste,-7.657442,-35.321846
26,Pernambuco,PE,2616407,Vitória de Santo Antão,Nordeste,-8.120902,-35.294486
